Brand,Model (Markings),Capacity (mAh),Discharge A (Max),Charging A (Max),Chemistry,Color (Wrap),Color (Ring),Image,Data Sheet,Data Sheet (Backup),Web,Notes
LG,LGDAME11865/ ICR18650ME1,? 2100,? 4.2,? 2.1,?,Orange,White,,?,?,lygte-info Test results,? 3.65V nominal
LG,ICR18650S2 / LGDS218650,2200 (3V),4.3,1.075,ICR / LCO (LiCoO2),Peach,White,,Data Sheet,Data Sheet Backup,,
LG,LGCS218650,2200,? 2.2,? 2.2,?,Peach,White,,,,Chinese source,
LG,LGDBHE41865 / INR18650HE4,2500 (2.5V),10 (20),1.25 (4),NMC (LiNiMnCoO2),Yellow,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
LG,LGDAHB41865 / INR18650HB4,1500 (2.5V),30 (50 pulse),4,NMC (LiNiMnCoO2),Mustard,White,,,,e-cigarette-forum.com test results,
LG,LGABC11865 / ICR18650C1,"2800 (3V)
",4.05,1.35 (2.7),ICR / LCO (LiCoO2),Khaki-Yellow (Erbsensuppe),White,,Data Sheet,Data Sheet Backup,,charges to 4.35V with average voltage of 3.75
Moli Energy,ICR-18650H,2200 (3V),2.2 (5),1.25 (2.2),?,Yellow - Green (Light),Black,,Data Sheet,Data Sheet Backup,,
GP Batteries,GP18650CH,2200 (2.75),6.6,2.2,?,Yellow - Green (Dirty),Black,,Data Sheet,Data Sheet Backup,,
HYB / OEM,ICR18650NH MH28822,2200 (2.75),2.2 (4.4),1.1 (2.2),?,Green (Light),White,,Data Sheet,Data Sheet Backup,,
BG,INR18650-26R,2600,12.5,?,?,Green (Light),White,,,,nkon.nl,3.7V nominal
Samsung,INR18650-15Q / INR18650-15L,1500 (2.5V),18,0.75 (4),IMR / LMO (LiMn2O4),Green (Light),White,,Data Sheet,Data Sheet Backup,,Possibly identical to Teal color 15Q and 15R
Panasonic,CGR18650A,2000,3.8,1.33,?,Green (Light),White,,Data Sheet,Data Sheet Backup,,
Panasonic,NCR18650B,3350 (2.5V),4.875 (6.5),1.625,NCA (LiNiCoAlO2),Green (Light),White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Panasonic,CGR18650CG,2250 (3V),4.3,1.5,NMC (LiNiMnCoO2),Green (Light),White,,Data Sheet,Data Sheet Backup,,
Panasonic,NCR18650PD,2900 (2.5V),10,1.34,NCA (LiNiCoAlO2),Green (Light),White,,Data Sheet,Data Sheet Backup,,Virtually identical to NCR18650PF
Panasonic,NCR18650PF,2900 (2.5V),10,1.34,NCA (LiNiCoAlO2),Green (Light),White,,Data Sheet,Data Sheet Backup,,
Panasonic,NCR18650G,3550 (2.5V),5,?,,Green (Light),White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Panasonic,CGR18650CE,2200,?,?,?,Green (Light),White,,,,,
Panasonic,NCR18650BE,3100 (2.5V),3.6 (6.4),0.9 (1.5),NCA (LiNiCoAlO2),Green (Light),White,,Data Sheet,Data Sheet Backup,NCR18650DB vs. NCR18650BE,
Samsung,ICR18650-30B,3000 (2.75V),5.9,1.5 (2.9),NCA (LiNiCoAlO2),Green (Light),White,,Data Sheet,Data Sheet Backup,lygte-info.dk,charges to 4.35V. There is a 4.2V version (possibly the purple wrapper 30B) that measures to about 2500mAh (around 2800 for this one).
LG,LGDBMJ11865 / INR18650MJ1,3500 (2.5V),4 (10A),1.7 (3.4),NCA (LiNiCoAlO2),Green,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Sony,US18650GR,? 1600,?,?,?,Green,Black,,,,,
Sony,SF US18650GR,? 2200,?,?,?,Green,Black,,,,,
Sony,US18650GS,2200,? 10,? 2.15,?,Green,Black,,,,,
Sony,US18650V,1600 (2.5V),? 20,? 5,IMR / LMO (LiMn2O4),Green,Black,,,,,
Sony,US18650VT,1300,10,1.2,?,Green,Black,,,,,
Sony,US18650V2,2100 (2.5V),10,2,IMR / LMO (LiMn2O4),Green,Black,,,Data Sheet Backup,,
Sony,US18650V3,2250 (2.5V),10,2.15,INR / NMC (LiNiMnCoO2),Green,Black,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Sony,US18650VT3,1600 (2.5V),? 30,? 1.5 (3),INR / NMC (LiNiMnCoO2),Green,Black,,Data Sheet,Data Sheet Backup,,possibly industrial version of VTC3
Sony,US18650VTC3,1600 (2.5V),10 (30),1.5 (3),INR / NMC (LiNiMnCoO2),Green,Black,,Data Sheet,Data Sheet Backup,,
Sony,US18650VTC4,2100 (2.5V),10 (30),"2 (4, 12 Pulse)",INR / NMC (LiNiMnCoO2),Green,Black,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Sony,US18650VTC5,2600 (2V),20 (30),2.5 (6),INR / NMC (LiNiMnCoO2),Green,Black,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Sony,US18650VTC5A,2600 (2V),30 (35),2.5 (6),INR / NMC (LiNiMnCoO2),Green,Black,,Data Sheet,Data Sheet Backup,lygte-info.dk,charges up to 4.25V
Sony,US18650VTC6,3120 (2V),15 (30),2 (5),INR / NMC (LiNiMnCoO2),Green,Black,,Data Sheet,Data Sheet Backup,lygte-info.dk,charges up to 4.25V
Sony,US18650VC7,3500 (2V),8,1,,Green,Black,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Sony,US18650NC1,2900 (2.5V),8,3,INR / NMC (LiNiMnCoO2),Green,Black,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Samsung,INR18650-13P,1300 (2.5V),18 (31.5 Pulse?),1.3,NCA (LiNiCoAl),Green-Blue,White,,,,,https://voltaplex.com/samsung-13p-18650-battery-inr18650-13p
Samsung,INR18650-25R,2500 (2.5V),"10 (20, 100 Pulse)",1.25 (4),INR / NMC (LiNiMnCoO2),Green-Blue,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
,,,,,,Blue (Light),White,,,,lygte-info.dk,Alternative color version. No apparent difference in specs. Cycle life on green is supposed to be better.
Samsung,ICR18650-22F,2200 (2.75V),4.4,1.1 (2.2),NCA (LiNiCoAlO2),Green-Blue,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Samsung,ICR18650-22FU,2200 (2.75V),? 4.4,? 2.2,?,Green-Blue,White,,,,,
Panasonic,NCR18650A,3100 (2.5V),5.8,1.475,NCA (LiNiCoAlO2),Green-Cyan,White,,Data Sheet,Data Sheet Backup,,
Samsung,ICR18650-22E,2200 (2.75V),4.4,1.1 (2.2),INR / NMC (LiNiMnCoO2),Teal,White,,Data Sheet,Data Sheet Backup,,
,,,,,,Blue / Green (Light),,,,,,
Samsung,ICR18650-22B,2200 (2.75V),?,?,?,Teal,Blue,,,,,
,,,,,,Blue / Green (Light),Blue,,,,,
Samsung,INR18650-13Q,1300 (2.5V),15 (30 Pulse),0.91 (4),?,Teal,White,,Data Sheet,,,
Panasonic,CGR18650D,2400 (3V),4.5,1.645,ICR / LCO (LiCoO2),Teal (Light),White,,Data Sheet,Data Sheet Backup,,
Samsung,INR18650-20R,2000 (2.5V),20,1 (4),IMR / LMO (LiMn2O4),Teal,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Samsung,INR18650-20Q,2000 (2.5),15,1 (? 3.6),IMR / LMO (LiMn2O4),Teal,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Samsung,INR18650-15R,1500 (2.5V),? 10 (18),0.75 (4),?,Teal,White,,,,Alibaba Source,"Only chinese source. Teal color 15R,15Q and Green 15Q possibly identical. "
,INR18650-15Q,,,,,Teal,White,,,,Alibaba Source,
LG,LGABE11865 / ICR18650E1,3200 (2.5V),1.55 (4.6),1.55,NCA (LiNiCoAlO2),Teal,White,,Data Sheet,Data Sheet Backup,,
LG,LGDB118650 / ICR18650B1,2600 (3V),5.1,1.275 (2.55),?,Teal,White,,Data Sheet,Data Sheet Backup,,
LG,LGDAHB21865 / ICR18650HB2,1500 (2.5V),10 (30),0.75 (4),INR / NMC (LiNiMnCoO2),Teal,White,,Data Sheet,Data Sheet Backup,,
Panasonic,CGR18650AF,2050 (3V),3.9,1.365,?,Green-Blue,White,,Data Sheet,Data Sheet Backup,,
BAK,18650C4,2200,? 1.1 (4.4),? 0.44 (2.2),ICR / LCO (LiCoO2),Turquoise,White,,,,,
Unknown,ICR18650-23A-HENV / CMICR18650F5-S,?,?,?,?,Turquoise,Translucent (Hidden),,,,,
Unknown,C18650P / Generic,1300,?,?,?,Blue (Transparent),Cardboard (Natural),,,,,
Samsung,ICR18650-20B,2000 (? 2.75V),2 (? 4),?,ICR / LCO (LiCoO2),Blue - Sky,White,,Data Sheet,Data Sheet Backup,,"Datasheet is for ""ICR18650-20"""
Samsung,ICR18650-20C,2000 (? 2.75V),2 (? 4),?,ICR / LCO (LiCoO2),Blue - Sky,White,,Data Sheet,Data Sheet Backup,,"Datasheet is for ""ICR18650-20"""
Samsung,ICR18650-20F,2000 (? 2.75V),2 (? 4),?,ICR / LCO (LiCoO2),Blue - Sky,White,,Data Sheet,Data Sheet Backup,,"Datasheet is for ""ICR18650-20"""
Samsung,INR18650-32E,3200 (2.5V),6.4 (9.6 not for continuous discharge),0.96 (3.2),,Blue - Sky,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,Nominal Voltage 3.65V
Samsung,INR18650-15M,1500 (2.5V),23,0.75 (4),?,Blue - Sky,White,,Data Sheet,Data Sheet Backup,,Successor of INR18650-15L
Samsung,INR18650-15MM,1500 (? 2.5V),? 23,? 0.75 (1.5),?,Blue - Light,White,,,,,
Samsung,INR18650-20S,2000 (? 2.5V),30,4,?,Blue - Light,White,,Data Sheet,Data Sheet Backup,,
LG,INR18650MH1 / INR18650-MH1,3200 (2.5V),10,3.1,INR / NMC (LiNiMnCoO2),Blue - Light,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
LG,LGDBM361865 / INR18650-M36,3600 (2.5V),5,2.33,?,Blue - Light,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,"datasheet states capacity of 12.5Wh, which would be 3440mAh"
GP Batteries,ICR18650-26F,2600 (2.75V),0.5 (5.2),1.3 (2),?,Blue,White,,Data Sheet,Data Sheet Backup,,
Samsung,INR21700-50E,4900 (2.5V),"9.8 (14,7 not continuous)",2.45 (4.9),,Blue,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,21700 Cell
Sony,US18650S STG,1400,?,?,?,Blue,Beige,,,,,
Unknown,FP-ICR18650,2200,?,?,?,Blue,White,,,,,
LG,LGAAS31865,2200,? 2.4 (4.8 Pulse),? 1.2 (2.2),?,Blue,White,,,,Alibaba Source,
LG,LGDAS31865 / ICR18650S3,2200,3.2,1.075,INR / NMC (LiNiMnCoO2),Blue,White,,Data Sheet,Data Sheet Backup,,
LG,LGDS318650 / ICR18650S3,2200,?,?,?,Blue,White,,,,,
LG,LGEAS318650 / ICR18650S3,2200,? 1.075 (4.3),? 1.075 (2.15),?,Blue,White,,,,Alibaba Source,
LG,LGES318650 / ICR18650S3,2200,?,?,?,Blue,White,,,,,
Samsung,ICR18650-24E,2400 (2.75V),4.8,1.2 (2.4),?,Blue,White,,Data Sheet,Data Sheet Backup,,
Panasonic,CGR18650C,? 2200,?,?,?,Blue,White,,,,,
Samsung,ICR18650-32A,3200 (2.75V),6.4,1.6 (3.2),NCA (LiNiCoAlO2),Purple (Light),White,,Data Sheet,Data Sheet Backup,,charges to 4.35V
Samsung,ICR18650-30A,3000 (2.75V),6,1.5 (3),ICR / LCO (LiCoO2),Purple (Light),White,,Data Sheet,Data Sheet Backup,,charges up to 4.3V
Samsung,INR18650-25S,2500 (2.5V),25 (35A With 80°Ctemperature cut),4,INR / NMC (LiNiMnCoO2),Purple (Light),White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Samsung,INR18650-29E,2900 (2.5V),"2.75 (8.25, not continious)",1.375 (2.75),NCO (LiNiCoO2),Purple (Light),White,,Data Sheet,Data Sheet Backup,lygte-info.dk,ICR18650-26F
Samsung,ICR18650-28A,2800 (2.75V),5.6,1.4 (2.8),ICR / LCO (LiCoO2),Purple (Light),White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Samsung,ICR18650-22P,2200 (2.75V),10,1.075 (2.15),INR / NMC (LiNiMnCoO2),Purple (Light),White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
LG,LGABF1L1865 / INR18650F1L,3350 (2.5V),1.625 (4.875),0.975 (1.625),?,Purple (Light),White,,Data Sheet,Data Sheet Backup,,
LG,ICR18650MF1 / ICR18650-MF1,2150 (2.75V),10,2.1,?,Purple (Light),White,,Data Sheet,Data Sheet Backup,,
LG,LG18650MF2 / INR18650MF2 / LGEBMF21865,2200 (2.75V),10,2.1,?,Purple,White,,Data Sheet,Data Sheet Backup,,
LG,INR18650M26 / INR18650-M26 / LGEBM261865,2600 (2.75V),10,2.5,?,Purple,White,,Data Sheet,Data Sheet Backup,,nominal 3.65V
Panasonic,CGR18650CF,2250 (3V),0.675 (4.3),1.575,?,Purple (Light),White,,Data Sheet,Data Sheet Backup,,
Lishen (LS),LR1865AH,2200 (3V),1.1 (4.4),1.1 (2.2),?,Purple (Light),White,,Data Sheet,Data Sheet Backup,,
Panasonic,CGR18650DA,2450 (3V),4.66,1.63,ICR / LCO (LiCoO2),Purple,White,,Data Sheet,Data Sheet Backup,,
Unknown,ASO / SZN,? 2500,? 5,? 1.2,?,Purple,White / Translucent,,,,Possible Alibaba match,
LG,INR18650-MG1 / LGEBMG11865,2850 (2.5V),10,2.85,,Purple / Maroon,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
LG,ICR18650B3 / LGDBB31865,2600 (3V),3.75,1.25,?,Purple / Maroon,White,,Data Sheet,Data Sheet Backup,,
,,,,,,Salmon,White,,,,lygte-info.dk,
LG,ICR18650HB6 / LGDAHB61865,1500 (2V),30,4,NMC (LiNiMnCoO2),Purple / Pink,White,,Data Sheet,Data Sheet Backup,e-cigarette-forum.com test results,nominal 3.65V
Panasonic,CGR18650E,2550 (3V),4.9,1.715,ICR / LCO (LiCoO2),Purple / Pink,White,,Data Sheet,Data Sheet Backup,,
Samsung,ICR18650-26C,2600 (2.75V),5.2,1.3 (2.6),?,Purple / Pink,White,,Data Sheet,Data Sheet Backup,,
Samsung,ICR18650-26F,2600 (2.75V),5.2,1.3 (2.6),INR / NMC (LiNiMnCoO2),Purple / Pink,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Samsung,ICR18650-26H,2600 (2.75V),5.2,1.3 (2.6),INR / NMC (LiNiMnCoO2),Purple / Pink,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Samsung,ICR18650-26J / ICR18650-26JM,2600 (2.75V),5.2,? 1.3 (2.6),INR / NMC (LiNiMnCoO2),Purple / Pink,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Samsung,ICR18650-26FM,2600 (2.75V),? 5.2,? 1.3 (2.6),INR / NMC (LiNiMnCoO2),Purple / Pink,White,,,,batterybro.com,Likely Malaysian made version of ICR18650-26F
Samsung,INR18650-30Q,3000 (2.5V),15,1.5 (4),NCA (LiNiCoAlO2),Purple / Pink,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Samsung,INR18650-35E,3450 (2.65V),8 (13),1 (2),INR / NMC (LiNiMnCoO2),Purple / Pink,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
LG,LGDB218650 / ICR18650B2,2600 (3V),3.75,1.25 (2.5),?,Pink,White,,Data Sheet,Data Sheet Backup,,
LG,LGABD11865 / ICR18650D1,3000 (3V),1.45 (5.8),1.45 (2.9),NCA (LiNiCoAlO2),Pink,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,charges to 4.35V
Sony,US18650E,?,?,?,?,White,Black,,,,,Measured extremely low weight and capacity
BAK,C18650CC,2600 (3V),5.2,2.6,ICR / LCO (LiCoO2),Gray,White,,,Data Sheet Backup,Discharge Curve,
LG,LGABB41865 / ICR18650B4,2600,1.25 (5),1.25 (2.5),ICR / LCO (LiCoO2),Gray,White,,Data Sheet,Data Sheet Backup,,
LG,INR18650M29 / INR18650-M29,2850 (2.5V),"6 (10, not for continuous discharge)",1.375,,Gray,White,,Data Sheet,Data Sheet Backup,,nominal voltage 3.67V
Lishen (LS),LR1865SF,2200,? 2.2,? 1.1,ICR / LCO (LiCoO2),Gray,White,,,,,
,,,,,,Purple (Light),White,,,,,
Panasonic,CGR18650CH,2250 (2.5V),4.3 (? 10),1.5 (? 2.15),INR / NMC (LiNiMnCoO2),Gray,White,,Data Sheet,Data Sheet Backup,,
Panasonic,NCR18650D,2700,5,1.35 (2.7),?,Gray,White,,,,,Only Chinese sources.
Panasonic,NCR18650BD,3200 (2.5V),10,1.5,NCA (LiNiCoAlO2),Gray,White,,Data Sheet,Data Sheet Backup,,realistically 3000mAh
Panasonic,NCR18650,2900 (2.5V),5.8,1.925,NCA (LiNiCoAlO2),Gray,White,,Data Sheet,Data Sheet Backup,,
,,,,,,Gray,White,,,,,
LG,LGDAHB31865 /  LG 18650 HB3,1500 (2.5V),10 (22),4,?,Gray,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,nominal voltage 3.65V
Unknown,SW18650-25HP,2450 (2.75V),2.4?,1.225,MNC AG,Gray,White (translucent),,China factory,,http://www.sinowatt.com/Phone/powerCell/powercell.aspx?id=100000000139127,
,,,,,,,,,,,,
,,,,,,,,,,,,
,For a price/performance comparison of popular 18650 cells go here,,,,,,,,,,,
